Ano;Data_Referencia;Empresa;CNPJ;Demonstracao;Categoria;Metrica;Rotulo;Codigo_Conta;Descricao_CVM;Valor_R$_mil;Valor_R$_milhoes;Moeda;Escala_Original;Versao_DFP;Fonte
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;Capex_Intangivel;Aquisição de intangível;6.02.02;Aquisicao de Ativo Intangivel;-462947,0;-462,947;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;FCF;Fluxo de caixa de financiamento;6.03;Caixa Líquido Atividades de Financiamento;-15310874,0;-15310,874;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;Variacao_Caixa;Variação de caixa;6.05;Aumento (Redução) de Caixa e Equivalentes;-766149,0;-766,149;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Receita;Receita líquida;3.01;Receita de Venda de Bens e/ou Serviços;38038068,0;38038,068;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Custos;Custos dos bens e serviços;3.02;Custo dos Bens e/ou Serviços Vendidos;-26410812,0;-26410,812;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Lucro_Bruto;Lucro bruto;3.03;Resultado Bruto;11627256,0;11627,256;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Despesas_Operacionais;Despesas/receitas operacionais;3.04;Despesas/Receitas Operacionais;-10064824,0;-10064,824;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Resultado_Operacional;Resultado operacional (antes do financeiro e tributos);3.05;Resultado Antes do Resultado Financeiro e dos Tributos;1562432,0;1562,432;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Resultado_Financeiro;Resultado financeiro;3.06;Resultado Financeiro;-1475048,0;-1475,048;REAL;MIL;1;DFP 2024 - CVM
2024;2024-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Lucro_Liquido;Lucro/prejuízo consolidado;3.11;Lucro/Prejuízo Consolidado do Período;448717,0;448,717;REAL;MIL;1;DFP 2024 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Ativo_Total;Ativo total;1;Ativo Total;37911158,0;37911,158;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Ativo_Circulante;Ativo circulante;1.01;Ativo Circulante;19839054,0;19839,054;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Caixa;Caixa e equivalentes;1.01.01;Caixa e Equivalentes de Caixa;1575837,0;1575,837;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Contas_a_Receber;Contas a receber;1.01.03;Contas a Receber;5608982,0;5608,982;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPA;Balanço;Estoques;Estoques;1.01.04;Estoques;7181339,0;7181,339;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Passivo_Total;Passivo total e patrimônio líquido;2;Passivo Total;37911158,0;37911,158;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Passivo_Circulante;Passivo circulante;2.01;Passivo Circulante;17182792,0;17182,792;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Divida_CP;Empréstimos e financiamentos de curto prazo;2.01.04;Empréstimos e Financiamentos;998359,0;998,359;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Divida_LP;Empréstimos e financiamentos de longo prazo;2.02.01;Empréstimos e Financiamentos;3946177,0;3946,177;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;BPP;Balanço;Patrimonio_Liquido;Patrimônio líquido consolidado;2.03;Patrimônio Líquido Consolidado;11278030,0;11278,03;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;FCO;Fluxo de caixa operacional;6.01;Caixa Líquido Atividades Operacionais;15719373,0;15719,373;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;FCI;Fluxo de caixa de investimento;6.02;Caixa Líquido Atividades de Investimento;-1000816,0;-1000,816;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;Capex_Imobilizado;Aquisição de imobilizado;6.02.01;Aquisicao de Imobilizado;-330687,0;-330,687;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;Capex_Intangivel;Aquisição de intangível;6.02.02;Aquisicao de Ativo Intangivel;-560928,0;-560,928;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;FCF;Fluxo de caixa de financiamento;6.03;Caixa Líquido Atividades de Financiamento;-14969917,0;-14969,917;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DFC_MI;Fluxo de caixa;Variacao_Caixa;Variação de caixa;6.05;Aumento (Redução) de Caixa e Equivalentes;-251360,0;-251,36;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Receita;Receita líquida;3.01;Receita de Venda de Bens e/ou Serviços;38703387,0;38703,387;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Custos;Custos dos bens e serviços;3.02;Custo dos Bens e/ou Serviços Vendidos;-27148836,0;-27148,836;REAL;MIL;1;DFP 2025 - CVM
2025;2025-12-31;MAGAZINE LUIZA S.A.;47.960.950/0001-21;DRE;Resultado;Lucro_Bruto;Lucro bruto;3.03;Resultado Bruto;11554551,0;11554,551;REAL;MIL;1;DFP 2025 - CVM
